title,OEM,OEM Number,Description,Product Availability
80KV Converter,AMAT ,0090-91917,80KV Converter,In Stock
Motech Power Supply MP80,AMAT ,0090-91596,MoTech Power Supply (NEW & Available),In Stock
BNO Microcontroller,,SW0300A01A70000,BNO Microcontroller,In Stock
Source Bushing,Varian ,,70Kv Source Bushing for E500,In Stock
Source Bushing,AMAT ,,Source Bushing for XR80,In Stock
Source Bushing,AMAT ,0040-51795 RE,Source Bushing for XR80,In Stock
Indramat Scan Motor,,8501314000,Indramat Scan Motor,In Stock
MRS Bushing,AMAT ,,MRS Bushing,In Stock
60KV Stack,AMAT ,0090-90388W,60KV Stack,In Stock
Heatsinks,AMAT ,0040-95291,200mm Heatsinks (NEW/REFURBISHED),In Stock
Heatsinks,AMAT ,0040-95292,150mm Heatsinks (USED),In Stock
Heatsinks,AMAT ,AMGCOG-211,Heatsinks ns/Bump Assy 200 CIP (USED),In Stock
Flight Tube,AMAT ,0040-94458 & 0010-91214,9500xR Flight Tube,In Stock
Fixed Restraints,AMAT ,0040-96525,200mm Fixed Restraints,In Stock
Stecker BND Indexer,,X1CP3,Stecker BND Indexer,In Stock
Indexer Input Cable,,X1CP1,Indexer Input Cable,In Stock
Power Supply,,WSR45UM44-C,Intergrated Power Designs PSU,In Stock
VME PCB,,VERSION V6000,VME PCB,In Stock
MRS Turbo,,TURBOVAC340M,MRS Turbo,In Stock
Dual Power Supply 280W,,TTIEX354RD,Dual Power Supply 280W,In Stock
Pfeiffer Vacuum Controller,Pfeiffer,TPS301-PC0418,Pfeiffer Vacuum Controller,In Stock
Pfeiffer Single Gauge Control,Pfeiffer,TPG 261,Pfeiffer Single Gauge Control,In Stock
Pfeiffer Turbo,Pfeiffer,TMU260,Pfeiffer Turbo Pump,In Stock
Toxic Gas Monitor,,TLD-1,Toxic Gas Monitor,In Stock
AC-Servo,,TDM1.2,Indramat AC-Servo,In Stock
Time Lapse VCR,,SR-L910EK,Time Lapse VCR,In Stock
Step Scan AMP,,SERVOSTAR620,Step Scan AMP,In Stock
Dowel Pins,,QFT6500183M,6x20mm Dowel Pins,In Stock
15V DC  Stepscan Power Supply,,PMC75E-2,15V DC  Stepscan Power Supply,In Stock
Pfeiffer Source Turbo Upgrade Parts + Vac Cable,Pfeiffer,PM 051 104 -T,Pfeiffer Source Turbo Upgrade Parts + Vac Cable,In Stock
Pfeiffer Vac Gauge + Manifold,Pfeiffer,PKR 251,Pfeiffer Vac Gauge + Manifold,In Stock
Servo Drive,,PC834-001-N,Servo Drive,In Stock
Brushless Servo Drive,,PC833,Brushless Servo Drive,In Stock
X Scan Controller,,OO17,X Scan Controller,In Stock
Turbo Pump Controller,Leybold,NT340M,Turbo Pump Controller,In Stock
N Port Interface Server,MOXA,NPORT5610-8RE,N Port Interface Server,In Stock
N Port Interface Server,MOXA,NPORT5610-16R,N Port Interface Server,In Stock
Q1611 Corner Block T Spacer,,M369,Q1611 Corner Block T Spacer,In Stock
Scan Tranducer Assy,,M-1025R,Scan Tranducer Assy,In Stock
Yokogawa Chart Recorder,,LR4210E,Yokogawa Chart Recorder,In Stock
Spectra Analyser,,LM76/LM501,Spectra Analyser,In Stock
Protection Module,,LB1-LD03M61,Protection Module,In Stock
Phantom MXII Interface,,ISUS2022,Phantom MXII Interface,In Stock
Phantom Specter RS232,,ISUS1026,Phantom Specter RS232,In Stock
Sensor,,IQ-1000,Sensor,In Stock
Bel Power Solutions Power Supply,,HE12-10.2-A,Bel Power Solutions Power Supply,In Stock
Hidden Vacuum Head,AMAT ,HAL100,Hidden Vacuum Head,In Stock
Residual Gas Analyser Unit,AMAT ,HAL 2/100,RGA - Residual Gas Analyser Unit,In Stock
Line Filter,,FN258P-75-34,Line Filter,In Stock
Area Flow Meter,,FC-2600,Area Flow Meter,In Stock
ESS Magnet Power Supply,Lambda/EMI,00481528,ESS Magnet Power Supply,In Stock
E5 Alignment Fixtures,AMAT ,ENCO 114046,E5 Alignment Fixtures,In Stock
Interface Server,MOXA,DE303,Interface Server,In Stock
24V AC 14A  Stepscan Power Supply,Edwards,CPP300PS24,24V AC 14A  Stepscan Power Supply,In Stock
Ethernet Box,Berkley Process Control,BX-RSS-2-A,Ethernet Box,In Stock
8 Axis Controller,Berkley Process Control,BX2-8/6-01-A,8 Axis Controller,In Stock
ISO Valve Bellows,,BLF-1011,ISO Valve Bellows,In Stock
Transformer 120/12V,,ATD4020,Transformer 120/12V,In Stock
Heat Exchange Pump,,A96496651 P20,Heat Exchange Pump,In Stock
FI Pump,,A2688VEF22-A0,FI Pump,In Stock
8 Port Ethernet Switch,,AT-FS708,8 Port Ethernet Switch,In Stock
Leak Check Cover Beamstop,,A-01-150,Leak Check Cover Beamstop,In Stock
Asyst Moca Clear Versa Port,,9700-6017-02,Asyst Moca Clear Versa Port,In Stock
Serial Later Face Driver,AMAT ,926105,150mm Serial Later Face Driver,In Stock
Quadruple Alignment Jig,Eaton,8250HT,Quadruple Alignment Jig,In Stock
CTI Onboard Fast Regen Module,CTI,8113042-G002,CTI Onboard Fast Regen Module,In Stock
Cryo Compressor Controller,CTI,80432026002,Cryo Compressor Controller,In Stock
Tricow Delta Computer,,7408-14H,Tricow Delta Computer,In Stock
Sun Micro Sparc Station 5,,600-3903-03,Sun Micro Sparc Station 5,In Stock
Axcelis 150/200pc,,547932 REV.A,Axcelis 150/200pc,In Stock
FI Ionisation Controller,,5024E,FI Ionisation Controller,In Stock
Quad Magnet Power Supply,Varian ,E11000090,Quad Magnet Power Supply (Parts Only),In Stock
Genus PSI Extender PCB,,43510-00,Genus PSI Extender Card,In Stock
Light Curtain Controller,,42749-4011,Light Curtain Controller,In Stock
Turbo Pump,Leybold,361C,Turbo Pump,In Stock
Pen Display Monitor,,3019HA03,Pen Display Monitor,In Stock
Power Distribution Box,Berkley Process Control,300-003-873,Power Distribution Box,In Stock
Tylan Flow Meter,,2900 SERIES,Tylan Flow Meter,In Stock
Remote Power Supply,,271313D,Remote PSU,In Stock
Extension Lead,,262-1154,Extension Lead,In Stock
Electromagnetic Coil,,25725,Electromagnetic Coil,In Stock
Step Scan Mains Line Filter,,25/100/21,Step Scan Mains Line Filter,In Stock
Steel Template,,2086224,Steel Template,In Stock
KVM Switch,,1SU52022,KVM Switch,In Stock
Wafer Orienter Micro Controller,AMAT ,187ART2800,Wafer Orienter Micro Controller,In Stock
ISO Valve,,12040-PA24-00,E500 ISO Valve,In Stock
Kaiser Systems E Gun,,1101309,Kaiser Systems E Gun,In Stock
Heat Exchanger,,10246-0301,Heat Exchanger,In Stock
Vac Bellows,AMAT ,1016-26001REV,Vac Bellows,In Stock
Moving Clip Assembly,,10098186,200mm Moving Clip Assembly (NEW/REFURBISHED),In Stock
BX300 Controller (8 Axis/3 Drives),Moog,100-000-943,BX300 Controller (8 Axis/3 Drives),In Stock
Pre-Alligner,,100-000-871-0,Pre-Alligner,In Stock
Vac Gauge,,20347057,Vac Gauge,In Stock
Ground-Foss Pump Shaft Seals (4 Off),Varian ,985167,Ground-Foss Pump Shaft Seals (4 Off),In Stock
Beamline Soft Start Unit,SZS,EN60947-4-2,Beamline Soft Start Unit,In Stock
Total Energy Monitor,Glassman,RD200,Total Energy Monitor,In Stock
Spin Power Supply,AMAT ,0090-91557,Spin Power Supply,In Stock
Step Scan Turbo Controller,Edwards,D3961600,Step Scan Turbo Controller,In Stock
Active Gauge Controller,Edwards,D38665000,Active Gauge Controller,In Stock
Focus & Deflect Interface,Eaton,5990-0150-000,Focus & Deflect Interface,In Stock
Scan System II PCB,Eaton,5990-0086-000,Scan System II PCB,In Stock
Scan Monitor & Chiller Interface,Eaton,5990-0027-000,Scan Monitor & Chiller Interface,In Stock
Channel Driver & Monitor,Eaton,5990-0008-000,Channel Driver & Monitor,In Stock
Beam Monitor Comm PCB,Eaton,5990-0006-000,Beam Monitor Comm PCB,In Stock
Fibre Optic Controller,Eaton,5990-0003-000,Fibre Optic Controller,In Stock
High Voltage Resistor Stack,Eaton,,High Voltage Resistor Stack - AHV-PG-1-180P,In Stock
PCB,Eaton,0301-0360-000REV,PCB,In Stock
PCB,Eaton,0301-0311-000REV,PCB,In Stock
PCB ,Eaton,0301-0300-000REV,PCB,In Stock
PCB,Eaton,0301-0287-000,PCB,In Stock
PS End Station Control Texion,Eaton,0301-0245-000,PS End Station Control Texion,In Stock
Chamber Aperture,Eaton,0295-0006-200,Chamber Aperture,In Stock
Shorting Bar,AMAT ,3020-90035,Shorting Bar,In Stock
Gripper Motor,AMAT ,1080-00069,Gripper Motor,In Stock
Die Current Monitor,AMAT ,1070-00026,Die Current Monitor,In Stock
Extraction Electrode,Eaton,1550-0014-300,Extraction Electrode,In Stock
Beamstop Graphite,Varian ,1031291-0067,Beamstop Graphite,In Stock
X Scan Controller,AMAT ,0500-00232,X Scan Controller,In Stock
Wide Beam Jig,AMAT ,0270-90203,Wide Beam Jig,In Stock
Beam Align Profile,AMAT ,0270-90203,Beam Align Profile,In Stock
Dual Bellows Extraction Alignment Jig,AMAT ,0270-90201,Dual Bellows Extraction Alignment Jig,In Stock
Beam Align Profile,AMAT ,0270-90199,Beam Align Profile,In Stock
ION Gauge Power Supply Extender PCB,AMAT ,0270-90075,ION Gauge Power Supply Extender Card,In Stock
Contactor Drive Extender PCB,AMAT ,0270-90071,Contactor Drive Extender PCB,In Stock
Beam Profile Setup Jig,AMAT ,0270-00337,Beam Profile Setup Jig,In Stock
Leap II Extraction Jigs,AMAT ,0270-00296,Leap II Extraction Jigs,In Stock
Cassette Alignment Kit,AMAT ,0250-90453,"6"" & 8"" Cassette Alignment Kit",In Stock
Arc Discharge Power Supply,Eaton,0342-1431-000,Arc Discharge Power Supply,In Stock
Shield Assy,Eaton,0342-0934-300,Shield Assy,In Stock
Beam Guide,Eaton,0342-0838-400,Beam Guide,In Stock
Source Can,Eaton,0342-0562-200,Source Can,In Stock
Supression Feed Through,Eaton,0342-0384-100,Supression Feed Through,In Stock
Vaporizer Power Supply,Eaton,0980-0081-000,Vaporizer PSU,In Stock
Front Panel Control,Eaton,0569-0196-000,Front Panel Control,In Stock
Scan System II PCB,Eaton,0567-0302-000,Scan System II PCB,In Stock
AC Line Monitor,Eaton,0567-0284-000,AC Line Monitor,In Stock
PCB ,Eaton,0567-0272-000,PCB,In Stock
Stepper Motor Controller,Eaton,0567-0270-000,Stepper Motor Controller,In Stock
3 Cyro Remote Switch,Eaton,0567-0259-000,3 Cyro Remote Switch,In Stock
Source Term Data Link,Eaton,0567-0254-000,Source Term Data Link,In Stock
Beam Monitor Back Plate,Eaton,0567-0241-000,Beam Monitor Back plate,In Stock
Beam Shutter Interface,Eaton,0567-0240-000,Beam Shutter Interface,In Stock
Fibre Optic RCVR PCB,Eaton,0567-0234-000,Fibre Optic RCVR PCB,In Stock
PCB ,Eaton,0567-0232-000,PCB ,In Stock
PCB,Eaton,0567-0229-000,PCB,In Stock
Micro Step Controller,Eaton,0567-0212-000,Micro Step Controller,In Stock
Scan Generator,Eaton,0567-0205-000,Scan Generator,In Stock
Front Panel Control,Eaton,0567-0196-000,Front Panel Control,In Stock
Front Panel Controller,Eaton,0567-0195-000,Front Panel Controller,In Stock
Magnet Power Supply Regulator Texion,Eaton,0567-0091-300,Magnet Power Supply Regulator Texion,In Stock
Tilt & Rotate Cont 24v,Eaton,0567-0039-000,Tilt & Rotate Cont 24v,In Stock
Ion Gauge Controller,Eaton,0567-0027-000,Ion Gauge Controller,In Stock
Inline Valve,Edwards,IPV40PKA-NTP,Inline Valve,In Stock
D.C. UPS,ESP,0247/AIT3,D.C. UPS,In Stock
Suppression Supply ,Glassman,PS/KL030N100Y,20 KV Power Supply,In Stock
Rev B Motion Control PCB,AMAT ,SBA-10/100H,Rev B Motion Control PCB,In Stock
KF40 Valve + Soilenoid,Edwards,CA1644000,KF40 Valve + Soilenoid,In Stock
BOC Edwards Active Gauge,,D14641000,BOC Edwards Active Gauge,In Stock
Valve,Edwards,C41646000,Edwards High Vac Int Valve,In Stock
Valve,Edwards,C31315000,Edwards High Vac Int Valve,In Stock
Power Supply,Glassman,0090-93027,Glassman ER PSU,In Stock
Remote Pump Controller,Edwards,IQDP80-QMB500,Edwards High Vac Int Remote Pump Controller,In Stock
MRS Exhaust,Edwards,PV40PKA DBL-B,MRS Exhaust,In Stock
Source Turbo Valve,Edwards,PV40PKA,Source Turbo Valve,In Stock
MRS Turbo Backing Valve,Edwards,PV25PKA-DBL-B,MRS Turbo Backing Valve,In Stock
H.V Output,Glassman,PCA 1033,Glassman H.V Output,In Stock
Pfeiffer Resolver Turbo Control,Pfeiffer,TCP121,Pfeiffer Resolver Turbo Control,In Stock
Resolver Aperture Turbo Control,Pfeiffer,PEIFFER TCP1,Resolver Aperture Turbo Control,In Stock
Orienter Controller,AMAT ,0100-90992,"Orienter Controller (original OEM packaging, sealed)",In Stock
DAQ MK II Type H,AMAT ,0090-90967,DAQ MK II Type H,In Stock
Accel Electrode Drive,AMAT ,0040-92932,Accel Electrode Drive,In Stock
Heatsinks,AMAT ,0040-02678,200mm Heatsinks (USED),In Stock
Heatsinks,AMAT ,0040-01455,150mm Heatsinks (USED),In Stock
Mercury Slip Ring,AMAT ,0020-91676,Mercury Slip Ring,In Stock
Clamp Plate,AMAT ,0020-83171,Clamp Plate,In Stock
Hollow Gripper,AMAT ,0020-82956,150mm Hollow Gripper,In Stock
Ceramic Blade,AMAT ,0020-82890,"8"" Ceramic Blade",In Stock
Wafer On H/Sink Sensor,AMAT ,0020-81812,Wafer On H/Sink Sensor,In Stock
PFG Magnet Assy,AMAT ,0020-80618,PFG Magnet Assy,In Stock
Cryo Torr Interface,AMAT ,8135903G001,Cryo Torr Interface,In Stock
Flight Tube,AMAT ,9010-02164,Quantum / Quantum X Flight Tube,In Stock
MRS Assembly,AMAT ,9010-02087,MRS Assembly,In Stock
DI Water Manifold,AMAT ,9010-01870,DI Water Manifold,In Stock
Soft Start,AMAT ,9010-01609,Soft Start,In Stock
MRS Assembly,AMAT ,9010-01600,MRS Assembly,In Stock
Blade,AMAT ,9010-013272,300mm Blade,In Stock
Extraction Clamping Box,AMAT ,9010-00701REV,Extraction Clamping Box,In Stock
Hollow Gripper,AMAT ,9010-00456,300mm Hollow Gripper,In Stock
VME PCB,AMAT ,,VME PCB,In Stock
Source Liners,AMAT ,,Source Liners,In Stock
Source Bushing,AMAT ,,34mm Source Bushing for 9500,In Stock
Source Bushing,AMAT ,,Source Bushing,In Stock
PT VME 330A,AMAT ,,PT VME 330A,In Stock
Post Accel Drive,AMAT ,,Post Accel Drive,In Stock
PFG Arc Power Supply,AMAT ,,PFG Arc PSU,In Stock
MVME 222-2,AMAT ,,MVME 222-2,In Stock
MVME 215-1,AMAT ,,MVME 215-1,In Stock
MVME 162-031,AMAT ,162-031,MVME 162-031,In Stock
LMAA,AMAT ,,LMAA,In Stock
Liner Beam Stop,AMAT ,,Liner Beam Stop,In Stock
Hard Drive,AMAT ,,Hard Drive,In Stock
Extender PCB,AMAT ,,Extender PCB,In Stock
DI Pump,AMAT ,,DI Pump,In Stock
DI Filter,AMAT ,,DI Filter,In Stock
Data Acquisition Type B PCB,AMAT ,,Data Acquisition Type B PCB,In Stock
Cover,AMAT ,,Cover,In Stock
Cooling Line,AMAT ,,Cooling Line,In Stock
Beamstop,,,Standard Beamstop,In Stock
Blade Drive Motor,AMAT ,,Blade Drive Motor,In Stock
Bias Power Supply,AMAT ,"1140-90180, 1140-90182",XHR 600 1.7 Xantrex Bias PSU,In Stock
Filament Power Supply *,AMAT ,1140-90090,AMAT Filament Power Supply 1140-90090,In Stock
Arc Power Supply,AMAT ,1140-90065,PFG Arc PSU,In Stock
Video Controller,AMAT ,0950-90265,Video Controller,In Stock
Suppression Box,AMAT ,0900-91209,Suppression Box,In Stock
FI Controller Chassis,AMAT ,0909-01180REV,FI Controller Chassis,In Stock
MVME 117-3,AMAT ,0950-90366,MVME 117-3,In Stock
Loop Controller,AMAT ,0660-90092,Loop Controller ,In Stock
VME CONTROL PCB VME162-031,AMAT ,0660-90126,Motorola VME162-031 Control PCB for AMAT Systems,In Stock
Unit 5000 Fibre Optic Interface,AMAT ,0906-0146-000,Unit 5000 Fibre Optic Interface,In Stock
125V/2A,AMAT ,0910-90094,125V/2A,In Stock
Graphics Card PCB,AMAT ,0660-90060,Graphics Card PCB,In Stock
VME Module,AMAT ,0660-90052,Motorola VME Module,In Stock
MVME 335,AMAT ,0660-90052,MVME 335,In Stock
Universal DAQ,AMAT ,0660-00633,Universal DAQ,In Stock
Loop Controller,AMAT ,0600-90083,Loop Controller,In Stock
Alignment Bracket,Varian ,E17069400/1,Alignment Bracket,In Stock
Focus Faraday Cup,Varian ,E11049671,Focus Faraday Cup,In Stock
Cassette Tilt Bracket (Left and Right),Varian ,E11001669,Cassette Tilt Bracket (Left and Right),In Stock
Decel Power Supply,Varian ,E11000290,Decel Power Supply,In Stock
Beam Current Measurement Module,AMAT ,9090-01047,Beam Current Measurement Module,In Stock
Processor Vacuum Control Chassis,AMAT ,9090-00962,Processor Vacuum Control Chassis,In Stock
Focus Resistor Clamp,AMAT ,9090-00979,Focus Resistor Clamp,In Stock
Vacuum Robot Amplifier,AMAT ,9090-01127,Vacuum Robot Amplifier,In Stock
Filament Power Supply,AMAT ,"1140-00154, 1140-00600, 1140-90182",XHR 7.5 80SP Filament PSU,In Stock
Arc Control DSP,AMAT ,9090-00976,Arc Control DSP,In Stock
Laser Controller Handling,AMAT ,9090-01144,Laser Controller Handling,In Stock
Laser Sensor Chassis,AMAT ,9090-01143,Laser Sensor Chassis,In Stock
Laser Sensor Chassis,AMAT ,9090-00961,Laser Sensor Chassis,In Stock
E-Chuck DC Power Supply,AMAT ,9090-01167,E-Chuck DC Power Supply,In Stock
PFS Chassis,AMAT ,9090-01180,PFS Chassis,In Stock
Gas Control Power Supply,AMAT ,9090-00879,Gas Control PSU,In Stock
Beamline Main Power Supply,AMAT ,9090-00846ITL,Beamline Main PSU,In Stock
Source / Magnet Turbo Controller,AMAT ,9090-00842REV,Source / Magnet Turbo Controller,In Stock
80KV Stack,AMAT ,9090-00801,80KV Stack,In Stock
Controller,AMAT ,9090-00809,Quantum X Controller,In Stock
Pre Accel ,AMAT ,9090-00803,Amag Pre Accel,In Stock
Source Magnet Power Supply,AMAT ,9090-00046,Source Magnet Power Supply,In Stock
Beamline Instrumentation Chassis,AMAT ,9090-00695,Beamline Instrumentation Chassis,In Stock
Remote CPU,AMAT ,9090-00630,Remote CPU,In Stock
ARC Power Supply,AMAT ,"1140-00151, 1140-00599",Xantrex XHR120-10 ARC Power Supply,In Stock
Arc Control DSP ,AMAT ,9090-01397,Arc Control DSP ,In Stock
Processor Vaccum Chassis,AMAT ,9090-91639,Processor Vaccum Chassis,In Stock
Step Scan Transformer,AMAT ,9091-00641,Step Scan Transformer,In Stock
Extraction Clamping Box Input Cable,AMAT ,9150-03125,Extraction Clamping Box Input Cable,In Stock
PFS Cable Kit,AMAT ,9150-03920,PFS Cable Kit,In Stock
Cable,AMAT ,9150-04108,Cable,In Stock
Energy Controller,AMAT ,9240-04325,Energy Controller,In Stock
Shorting Bar,AMAT ,9240-04481,Shorting Bar,In Stock
PFS Chassis,AMAT ,9240-04902,PFS Chassis,In Stock
PFS Chassis,AMAT ,9240-04939ITL,PFS Chassis,In Stock
Beamline PSU Chassis,AMAT ,9090-00626,Beamline PSU Chassis,In Stock
6kV Decel Power Supply,AMAT ,"9090-00473, 9090-01265",Decel PSU,In Stock
Beamline Vacuum Control Chassis,AMAT ,9090-00456,Beamline Vacuum Control Chassis,In Stock
Resistor Stack,AMAT ,9090-00442,Resistor Stack,In Stock
Master Computer,AMAT ,9090-004-101,Master Computer,In Stock
DAQ Type H,AMAT ,9090-00314,DAQ Type H,In Stock
Stepscan AMP Interface,AMAT ,9090-00273,Stepscan AMP Interface,In Stock
VME Rack Chassis,AMAT ,9090-00227,VME Rack Chassis,In Stock
Chassis Monitor PCB,AMAT ,9090-00145,Chassis Monitor PCB,In Stock
VME Rack,AMAT ,9090-00011,VME Rack,In Stock
Orientor Interlock Chassis,AMAT ,9090-00105,Orientor Interlock PCB,In Stock
PFS Chassis,AMAT ,9090-00104,PFS Chassis,In Stock
Beamline Instrumentation Chassis,AMAT ,9090-00097,Beamline Instrumentation Chassis,In Stock
Magnet Power Control Chassis,AMAT ,9090-00086,Magnet Power Control Chassis,In Stock
VME Rack (Missing All Circuit Boards),AMAT ,9090-00011,VME Rack (Missing All Circuit Boards),In Stock
Blanking Plate,Varian ,E500,Blanking Plate,In Stock
Varian Door Lock,Varian ,E19002241,E500 Varian Door Lock,In Stock
TM260,Varian ,E31000148,TM260,In Stock
TCP600 Source Turbo Control,Varian ,E23000063,TCP600 Source Turbo Control,In Stock
Spacers,Varian ,E40000907,Spacers,In Stock
Source Manipulator Suppression  Bracket,Varian ,E17066860,Source Manipulator Suppression  Bracket,In Stock
Source Housing Gasket,Varian ,E17086390,Source Housing Gasket,In Stock
Small Liner Graphite,Varian ,E17154740,Small Liner Graphite,In Stock
Shorting Bar,Varian ,E36000031,Shorting Bar,In Stock
PCB Assy 8 Port Serial,Varian ,E20000129,PCB Assy 8 Port Serial,In Stock
Nyliner,Varian ,E42000096,Nyliner,In Stock
Manifold Leak Check Assy,Varian ,E17053101,Manifold Leak Check Assy,In Stock
High Voltage Lead Shield,Varian ,E17103440,High Voltage Lead Shield,In Stock
Graphite Sheet,Varian ,E17154260,Graphite Sheet,In Stock
Fibre Optic Unit,Varian ,E20000227,Fibre Optic Unit,In Stock
Fibre Optic Graphics Modem,Varian ,E20000053,Fibre Optic Graphics Modem,In Stock
Ergo Turbo Lift,Varian ,E18010570,Ergo Turbo Lift,In Stock
Ergo Lift Faraday End Effector,Varian ,E19009630,Ergo Lift Faraday End Effector,In Stock
Bracket,Varian ,E18006390,Bracket,In Stock
Bracket,Varian ,E17259760,Bracket,In Stock
Data link Assy Magnet Term,,1166-0022-0002,Data link Assy Magnet Term,In Stock
Focus & Deflact Interface,,5990-0150,Focus & Deflact Interface,In Stock
Relais Driver / Status Interface PCB,,0303-018118,Relais Driver / Status Interface PCB,In Stock
HVPS - Termocouple INTFC PCB,,5990-0055,HVPS - Termocouple INTFC PCB,In Stock
Magnet Power Supply + Two Spare Capacitors,,94070044,Magnet Power Supply + Two Spare Capacitors,In Stock
Endstation Controller Assy,,1027-0037-0001,Endstation Controller Assy,In Stock
C Drive Unit 4600,,0906-0108-0001,C Drive Unit 4600,In Stock
Power Break's,,,Power Break's,In Stock
Accel/Decel Power Supply,,5980-0059-0001,Accel/Decel Power Supply,In Stock
Data link Assy Magnet Term 6200 A/AV,,1166-0002-0002,Data link Assy Magnet Term 6200 A/AV,In Stock
Uniteruptible Power Supply,,885-7307,Uniteruptible Power Supply,In Stock
Magnet Power Supply,,0342-1429-0002,Magnet Power Supply,In Stock
Vaporizor Power Supply,,0342-0982-4001,Vaporizor Power Supply,In Stock
Unit 6600,,,Unit 6600,In Stock
Focus/Deflector Power Supply,,,Focus/Deflector Power Supply,In Stock
PS/KA-PG-Driver,,M120660-2 revC,PS/KA-PG-Driver,In Stock
Ion Gauge Controller,,0906-0089-0001,Ion Gauge Controller,In Stock
Unit 4600 Beamline Interface Chassy,,3122-0008-0001,Unit 4600 Beamline Interface Chassy,In Stock
Unit 6800 Alien Equipment Interface,,0906-0114-0001,Unit 6800 Alien Equipment Interface,In Stock
Unit 4500 Relay Interface Chassy,,3122-0007-0001,Unit 4500 Relay Interface Chassy,In Stock
Unit 4700 Endstation Interface Chassy,,3122-0009-0001,Unit 4700 Endstation Interface Chassy,In Stock
Unit 4900 Endstation Cryo Monitor Interface,,3122-0005-0002,Unit 4900 Endstation Cryo Monitor Interface,In Stock
Unit 1600 Autocool/Watercool Chassy,,8452-0007-0001,Unit 1600 Autocool/Watercool Chassy,In Stock
Unit 4400 Terminal Interface Assy,,3122-0006-0001,Unit 4400 Terminal Interface Assy,In Stock
Unit 900 Scan Amplifier,,0342-0978-0008,Unit 900 Scan Amplifier,In Stock
Unit 4800 Beamline Cryo Monitor Interface,,3122-0005-0001,Unit 4800 Beamline Cryo Monitor Interface,In Stock
Unit 300,,4698-0002,Unit 300,In Stock
Turbo Controller Seiko Seiki,,STP-h1000c,Turbo Controler Seiko Seiki,In Stock
Filament Power Supply,,0342-1432-0001,Filament Power Supply,In Stock
Graphite Shield Target Entrance,Varian ,E17140800,Graphite Shield Target Entrance,In Stock
Graphite Shield (T/C Side),Varian ,E17120450,T/C SIDE SHIELD GRAPHITE,In Stock
Graphite Scanner,Varian ,E17026690,Graphite Scanner,In Stock
Graphite Lens Liner,Varian ,E17036410,Graphite Lens Liner,In Stock
Graphite Shield Analyzer (Long Upper),Varian ,E17145700,Graphite Shield Analyzer (Long Upper),In Stock
Lens Apature Graphite (Large),Varian ,E17039040,Lens Apature Graphite (Large),In Stock
Lens Apature Graphite (Small),Varian ,E17045790,Lens Apature Graphite (Small),In Stock
200mm Carousel Indexer,AMAT ,,200mm CAROUSEL INDEXER,In Stock
Scan Bracket,AMAT ,,SCAN BRACKET,In Stock
Graphite Lens Liner,Varian ,E17036400,LENS LINER GRAPHITE,In Stock
E500 Graphite Used In Scanner ,Varian ,E17026680,E500 Graphite Used In Scanner ,In Stock
Wafer On Blade Sensor,AMAT ,0020 82873,Wafer On Blade Sensor,In Stock
Source Handles,AMAT ,0020-98907,Source Handles,In Stock
Pfeiffer Vacuum Valve,Pfeiffer,,PFEIFFER VACUUM VALVE,In Stock
Fixed Restraints,AMAT ,0040-97599,"USED 4"" FIXED RESTRAINTS - AMAT 100mm Fixed Restraints ",In Stock
200MM Flat Aligner,AMAT ,0090-91689,200MM FLAT ALIGNER,In Stock
Scan Flag Block,AMAT ,0020-98619,SCAN FLAG BLOCK,In Stock
Clip Actuator,AMAT ,,CLIP ACTUATOR,In Stock
200mm Carousel,AMAT ,,200mm CAROUSEL ,In Stock
Indexer with BNO,AMAT ,0020-97018,AMAT 200mm Indexer with BNO,In Stock
Ribbon Cable,AMAT ,0150-92038,AMAT 0150-92038 Ribbon Cable,In Stock
13A Bulkhead Cable Set,AMAT ,0150-92041,AMAT 0150-92041 13A Bulkhead Cable Set,In Stock
200mm Indexer Conversion Bracket,AMAT ,0040-94792,AMAT 0040-94792 200mm Indexer Conversion Bracket,In Stock
Software Tape,AMAT ,5075-90163,AMAT 5075-90163 Software tape 4.07.00,In Stock
Software Tape,AMAT ,5075-90163,AMAT 5075-90163 Software tape 4.10.04,In Stock
Ion Gauge Power Supply,AMAT ,0100-90093,AMAT 0100-90093 Ion Gauge Power Supply,In Stock
XR200 Hard Drive,AMAT ,5075-90171,AMAT 5075-90171 XR200 Hard Drive,In Stock
Thermistor Gauge Controller,AMAT ,0120-90146,AMAT 0120-90146 Thermistor Gauge Controller,In Stock
CFA Indexer Body Flat Cable Assy,AMAT ,0140-99009,AMAT 0140-99009 CFA Indexer Body Flat Cable Assy,In Stock
Hard Drive Formatted Disk Drive,AMAT ,5075-90171,AMAT 5075-90171 Hard Drive Formatted Disk Drive,In Stock
Assy 45w-5v-XP PSU,AMAT ,0090-91642,AMAT 0090-91642 Assy 45w-5v-XP PSU,In Stock
Hollow Gripper,AMAT ,0010-91470,200mm Hollow Gripper,In Stock
Chamber Feedthrough,AMAT ,,AMAT  Chamber Feedthrough,In Stock
Carousel Hub,AMAT ,,Carousel Hub,In Stock
Chamber Phenumatic Lines,AMAT ,,Chamber Phenumatic Lines,In Stock
SCIM Box,AMAT ,"0090-91514, 0100-91071",AMAT 0090-91514 SCIM Box,In Stock
FWI Sensor,AMAT ,9010-00081,AMAT 9010-00081 FWI Sensor,In Stock
